asin,brand,title,reviewtext,summary,reviewerid,unixreviewtime
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,"the bubbles around the edges are a great multipurpose feature. its absorbs the shock and its great for clipping my phone to thing, like for camping. i love it and recommend it!",I love this case,A2JWEDW5FSVB0F,1402444800
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,Excellent !! I dropped my phone a few times I'm this phone and I am worry free! The bubble technology works great with absorbing the shock of an impact. Great buy and better than an otter box!,Better than otter box,A8AJS1DW7L3JJ,1402185600
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,I dropped my phone 2x on concrete with this case and not even a scratch on my phone. great case,I am in shock how well it works,A2YO4SCWAWNYBI,1403481600
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,I got this case for my daughter and she loves it. She drops her phone a lot and now I don&#8217;t have to hear her complain about broken screens or scratches.,my daughter likes the protection,A3PYMMEMSO48C4,1402444800
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,this case is made by surrounding it with these cool bubbles that i guess absorb the shock when it hits the floor,bubble protection!,A3HI3MQPE3G2M6,1402272000
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,"This case gives me perfect protection. Its got the best of both world. Strong shock protection, but still light and not too bulky. Dropped the phone a few times and no damages to the phone! I highly recommend it!",Shockingly Awesome,A6Q0P54QSP11J,1402185600
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,"Totally worth the money, It protects my phone in even of the most dangerous situations where I dropped my phone from 3 meters and it was as if nothing happened. BRAVO!","Amazing Product, Highly REcommend!",ANMATY0L0HX6Y,1402358400
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,"I got the blue for me, and pink for my wife. We are so grateful for this case because it saved us a bunch of time and money replacing our phones that we drop constantly",very strong,A1XBPVR8FE7TE1,1402531200
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,"This is a really great case, looks and feels amazing, not to mention that the shock resistance saved my phone.",Fantastic Fantastic!,A35C4777EXZZQH,1402531200
B00KROF20M,,ArmorBear&reg; Shock Series iPhone 5 / 5S Impact Absorber Cushion Defender Protection Case with Credit Card Storage - Blue,"I saw a video of this case in action, and the guy drops this case off the roof of his home onto the concrete with no damage! This is some heavy duty stuff!",No way!,ACU3LCRX4A8RV,1402272000
